english,french
Otter,Otter
Out-of-bag error,Erreur Out Of Bag
Out-of-distribution,Hors distribution
Outcome,Résultat
Outlier,Donnée aberrante
Outlier Detection,Détection des données aberrantes
Outliers,Anomalies
Output layer,Couche de sortie
Over-identification,Sur-identification
Overfitting,Surapprentissage
Overlapping average,Moyenne mobile
Overlapping mean,Moyenne mobile
Overlay,Recouvrement
Overlearning,Surapprentissage
Overparameterized model,Modèle surparamétré
Oversegmentation,Sursegmentation
Overtraining,Surapprentissage
P hacking,Bidouillage de la valeur-p
P-hacking,Bidouillage de la valeur-p
P-P plot,Diagramme P-P
P-value,Valeur-p
PAC learning,Apprentissage PAC
Packet,Paquet
Packet Filter,Routeur filtrant
Packet Sniffer,Renifleur de paquet
Padding,Bordure
Page rank,PageRank
PageRank,PageRank
Painter's algorithm,Algorithme du peintre
Paired samples t-test,Test t pour échantillons appariés
Paired t-test,Test t apparié
Pairing,Appariement
Pairing rule,Règle d'appariement
PALP,PALP
Pandas,Pandas
Pandemonium,Pandémonium
Pandemonium model,Pandémonium
Panel study,Étude de panel
Parallel data analysis,Analyse parallèle des données
Parallel distributed processing,Traitement parallèle réparti
Parallel group design,Plan à groupes parallèles
Param,Paramètre
Parameter,Paramètre
Parameter hypothesis,Hypothèse paramétrique
Parameter of scale,Paramètre d'échelle
Parameter Server,Serveur de paramètres
Parameter sharing,Partage de paramètre
Parameter tying,Liaison de paramètre
Parameter update,Mise à jour des paramètres
Parameter-driven programming,Programmation paramétrique
Parametric hypothesis,Hypothèse paramétrique
Parametric Model,Modèle paramétrique
Parametric programming,Programmation paramétrique
Parcor,Autocorrélation partielle
Pareidolia,Paréidolie
Parent clauses,Clauses parentes
Pareto chart,Diagramme de Pareto
Pareto curve,Courbe de Pareto
Pareto diagram,Diagramme de Pareto
Pareto distribution,Courbe de Pareto
Pareto distribution of the second kind,Distribution de Lomax
Paris Center for Quantum Computing,Paris Center for Quantum Computing
Parse tree,Arbre syntaxique
Part-of-speech tagging,Étiquetage morphosyntaxique
Partial autocorrelation,Autocorrélation partielle
Partial correlation,Corrélation partielle
Partial dependence plot,Diagramme de dépendance partielle
Partial derivative,Dérivée partielle
Partial least squares regression,Régression des moindres carrés partiels
Partial order reduction,Réduction d'ordre partiel
Partial serial correlation,Autocorrélation partielle
Partially balanced lattice,Carré latin partiellement équilibré
Partially structured data,Données semi-structurées
Participant under investigation role,Participant à l'enquête
Particle swarm optimization,Optimisation par essaim de particules
Particle-wave duality,Dualité onde-particule
Partitioning strategy,Stratégie de partitionnement
Pascal distribution,Distribution de Pascal
Passive Attack,Attaque passive
Passive Threat,Menace passive
Path analysis,Analyse des coefficients de direction
Path graph,Parcours de graphe
Pathfinding,Recherche de chemin
Pathing,Recherche de chemin
Patient selection bias,Biais de sélection
Pattern matching,Appariement de formes
Pattern recognition,Reconnaissance des formes
Pauli exclusion principle,Principe d’exclusion de Pauli
Pay-off matrix,Matrice des gains
Peak,Pic
Peak value,Pic
Pearson chi-squared test,Test chi-deux de Pearson
Pearson coefficient of correlation,Coefficient de corrélation de Pearson
Pearson correlation coefficient,Coefficient de corrélation de Pearson
Pearson curve,Distribution de Pearson
Pearson distribution,Distribution de Pearson
Pebibyte,Pétaoctet
Pedigree chart,Arbre généalogique
Peeling algorithm,Algorithme d'épluchage
Peephole connection,Connexion de judas
Penalty function,Fonction de pénalité
Penalty unit,Unité de pénalité
Penetration,Intrusion
Penetration signature,Signature de pénétration
Pentaho,Pentaho
People-Detection,Détection de personnes
People-Tracking,Détection de personnes
Per-pixel loss function,Fonction d'erreur par pixel
Percentage distribution,Distribution en pourcentage
Percentile,Centile
Percentile confidence interval,Intervalle de confiance de percentile
Perceptron,Perceptron
Perceptron algorithm,Algorithme du perceptron
Perceptron learning algorithm,Algorithme du perceptron
Perceptual loss function,Fonction d'erreur perceptuelle
Performance,Performance
Perimeter Based Security,Sécurité périmétrique
Periodogram,Périodogramme
Permanent,Permanent
Permutation Feature Importance,Permutation Importance de la caractéristique
Permutation numbering,Dénombrement des permutations
Permutation tests,Tests de permutation
Perpetrator,Intrus
Perplexity,Perplexité
Persistant contractive divergence,Divergence contractive persistante
Personal cybersecurity,Sécurité personnelle
Personal probability,Probabilité subjective
Personal voice assistant,Assistant vocal personnel
Personalistic probability,Probabilité subjective
Personality Insights,Informations sur la personnalité
Personnal Security,Sécurité personnelle
Perturbation method,Méthode des perturbations
Petabyte,Pétaoctet
Peterson's algorithm,Algorithme de Peterson
PH model,Modèle de régression à effet proportionnel
Phage,Phage
Phase,Phase
Phase diagram,Diagramme de phase
Phase estimation,Algorithme d'estimation de phase quantique
Phase Estimation Algorithm,Algorithme d'estimation de phase quantique
Phase Transition,Transition de phase
PHF hack,Piratage PHF
Phi coefficient,Coefficient phi
Phishing,Hameçonnage
Phone freak,Pirate du téléphone
Phone freaking,Piratage téléphonique
Phone phreak,Pirate du téléphone
Phone phreaking,Piratage téléphonique
Phoneme,Phonème
Phonetics,Phonétique
Phonology,Phonétique
Phonon,Phonon
Photo stitching,Assemblage de photos
Photodetector,Photodétecteur
Photon,Photon
Photon polarization,Polarisation des photons
Photonic accelerator,Accélérateur photonique
Photonic bandgap,Bande interdite photonique
Photonic integrated Circuit,Circuit intégré photonique
Photonics,Photonique
PHP,PHP
Phreaker,Pirate du téléphone
Phreaking,Piratage téléphonique
Physical agent,Agent physique
Physical qubit,Qubit physique
Physical Security,Sécurité physique
Pictogram,Diagramme à images
Pictograph,Diagramme à images
Pictorial bar chart,Diagramme à images
Picture diagram,Diagramme à images
Picturegram,Diagramme à images
Pie chart,Diagramme circulaire
Pie diagram,Diagramme circulaire
Pig,Apache Pig
Piggy-backing,Accès superposé
Piggyback entry,Accès superposé
Pilot sample,Échantillon pilote
Pilot survey,Enquête exploratoire
PING,PING
Ping Of Death,Ping de la mort
Pipeline,Pipeline
Pirate,Pirate informatique
Pitman estimator,Pitman estimator
Pivot table,Tableau croisé dynamique
Plackett-Burman design,Plan Plackett-Burman
Plan specification,Spécification du plan
Planification,Planification
Planned process,Processus planifié
Planner,Planner
Platform Builder,Développeur de plateforme
Platooning,Groupement par peloton routier
Platykurtosis,Platycurtique
Plausibility value,Degré de certitude
Plot,Parcelle
PN junction,Jonction PN
Point biserial correlation,Corrélation bisériale
Point density,Densité en un point
Point estimation,Estimation ponctuelle
Point of Presence,Point de présence
Point outliers,Donnée aberrante
Point process,Processus ponctuel
Point sampling,Sondage par points
Poisson binomial distribution,Loi Poisson binomiale
Poisson distribution,Distribution de Poisson
Poisson forest,Processus de Poisson bidimensionnel
Poisson probability paper,Abaque de la loi de Poisson
Poisson process,Processus de Poisson
Poisson-Lexis distribution,Distribution de Poisson-Lexis
Poisson-Pascal distribution,Distribution de Poisson-Pascal
Polar coordinate system,Système de coordonnées polaires
Polar coordinates,Coordonnées polaires
Polaritons,Polaritons
Policy,Politique d'action
Poll,Enquête d'opinion
Polychoric correlation,Corrélation polychorique
Polychoric correlation coefficient,Coefficient de corrélation polychorique
Polychotomous variable,Variable polychotomique
Polynomial contrast,Contraste polynomial
Polynomial node,Noyau polynomial
Polynomial regression,Régression polynomiale
Polynomial trend,Tendance polynomiale
Polynomial trending,Tendance polynomiale
Pooling,Sous-échantillonnage
Pooling layer,Couche de sous-échantillonnage
Population,Population
Population genetics,Génétique des populations
Population Inversion,Inversion de population
Population mean,Moyenne de la population
Population of statistical units,Population statistique
Population stratification prior to sampling,Stratification de la population avant l'échantillonnage
POS tagging,Étiquetage morphosyntaxique
Positive class,Classe positive
Positive correlation,Corrélation positive
Positive skewness,Asymétrie positive
Post hoc analysis,Analyse post hoc
Post Quantum Cryptography,Cryptographie post quantique
Post stratification,Stratification a posteriori
Post-quantum cryptography,Cryptographie post-quantique
Post-stratification,Stratification a posteriori
Postcondition,Postcondition
Posterior distribution,Loi à postériori
Posterior predictive distribution,Distribution prédictive postérieure
Posterior Probability,Probabilité a posteriori
Power function,Fonction puissance
Power law distribution,Distribution de la loi de puissance
Power moment,Moment
Power spectral density,Autospectre
Power spectrum,Spectre
Power transfer ratio,Rapport de transfert de puissance
PPO,Optimisation de la Politique Proximale
Pragmatics,Pragmatique
Pre-made Estimator,Estimator prédéfini
Pre-trained model,Modèle préentraîné
Pre-trainning,Préentraînement
Precision,Précision
Precision matrix,Matrice de précision
Precondition,Précondition
Predetermined variable,Variable prédéterminée
Predicate,Prédicat
Predicate calculus,Calcul des prédicats
Predicate logic,Logique du premier ordre
Predicated variable,Variable descriptive
Predicted residual error sum of squares,Statistique PRESS
Predicted residual error sum of squares statistic,Statistique PRESS
Prediction,Prédiction
Prediction bias,Biais de prédiction
Prediction Error Plot,Diagramme d'erreurs de prédiction
Predictive algorithm,Algorithme prédictif
Predictive analytics,Analyse prédictive
Predictive analyzer,Analyseur prédictif
Predictive logic,Analyse prédictive
Predictive model,Modèle prédictif
Predictive parser,Analyseur prédictif
Predictive regression analysis,Analyse de régression prédictive
Predictive Search,Recherche prédictive
Predictive sparse decomposition,Décomposition parcimonieuse prévisionnelle
Predictive value,Valeur prédictive
Predictor,Prédicteur
Predictor variable,Variable descriptive
Preference relation,Relation de préférence
Premise,Prémisse
Premise-conclusion rule,Règle condition-action
Prenex form,Forme prénexe
Prenex normal form,Forme prénexe
Prescriptive Analytics,Analytique prescriptive
Presence of association hypothesis,Hypothèse de la présence d'association
PRESS,Statistique PRESS
PRESS statistic,Statistique PRESS
Pretraining,Préentraînement
Pretty Good Privacy,Pretty Good Privacy
Price index,Indice de prix
Prim's algorithm,Algorithme de Prim
Primality test,Test de primalité
Primary unit,Unité primaire
Primary value learned value,Modèle de la valeur primaire apprise
Primitive act,Action primitive
Primitive action,Action primitive
Primitive subproblem,Sous-problème primitif
Principal component analysis,Analyse en composantes principales
Principal Component Plot,Diagramme des composantes principales
Principal component regression,Régression sur composantes principales
Principal coordinate analysis,Analyse de coordonnées principales
Principle of economy,Principe de parcimonie
Principle of indifference,Principe d'indifférence
Principle of least privilege,Droit d’accès minimal
Principle of least squares,Méthode des moindres carrés
Principle of locality,Principe de localité
Principle of maximum entropy,Principe d'entropie maximale
